Main_Weather_ID,station_name,MONTH,DBTempAvg,Relative  Humidity,Wind,South_Vert_Solar,East_Vert_Solar,West_Vert_Solar,North_Vert_Solar,HorizSol,bin data
2,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,9,48.6,73.3,7,839,417,540,234,695,"51,131,0.504 53,98,0.866 55,99,1.194 57,68,1.332 59,21,1.185 61,34,3.490 63,13,5.741 65,7,4.264 67,3,3.789"
2,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,10,34.8,75.9,6.8,500,245,238,130,336,"51,3,6.688"
2,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,11,22.2,80,6.7,438,134,126,58,143,
2,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,12,19,85.6,6.3,142,40,39,25,53,
3,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,1,37,82.3,9.5,382,146,134,75,184,
3,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,2,37.7,76.6,9.2,608,279,294,146,386,"51,14,0.778"
3,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,3,39.7,72.5,9.4,784,471,476,242,689,"51,4,5.171"
3,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,4,44.2,77.5,9,914,710,802,370,1136,"51,59,1.960 53,26,2.614 55,11,3.659 57,10,4.132 59,4,3.515 61,4,4.660"
3,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,5,50.2,76.4,8.1,883,797,853,492,1360,"51,163,1.454 53,51,1.818 55,22,1.773 57,37,1.930 59,16,2.733 61,14,2.413 63,15,2.641 65,8,2.350 67,1,5.476 69,2,5.021"
3,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,6,55.1,80.9,7.7,916,890,1054,614,1616,"51,207,0.554 53,139,0.980 55,92,1.760 57,37,2.162 59,20,2.256 61,13,3.115 63,12,3.693 65,11,4.088 67,1,4.060"
3,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,7,58.6,78.8,7.1,829,816,976,575,1425,"51,49,0.283 53,122,0.213 55,162,0.564 57,162,0.820 59,44,0.906 61,60,1.641 63,46,1.695 65,26,2.648 67,25,2.778 69,23,3.030 71,8,3.115 73,8,3.692"
3,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,8,58.9,81,7.1,982,806,900,438,1330,"51,106,0.253 53,176,0.221 55,135,0.439 57,60,0.880 59,47,1.142 61,63,1.602 63,48,2.505 65,31,2.072 67,16,1.992 69,20,2.732 71,17,3.089 73,9,3.188 75,7,3.920 77,2,2.975 81,2,4.549 83,4,3.213 85,1,4.023"
3,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,9,53.8,87,7.5,710,466,483,277,748,"51,136,0.432 53,137,0.686 55,168,1.218 57,108,1.342 59,45,2.171 61,19,2.746 63,7,4.551 65,2,3.928"
3,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,10,46.7,86.7,9,502,282,275,171,417,"51,125,1.877 53,91,1.161 55,11,3.675"
3,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,11,40,85.3,9.5,357,144,151,89,210,"51,35,1.907"
3,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,12,37.1,82,9.4,304,96,108,54,129,
4,AUKE BAY AK US,1,28.5,84.1,7.2,388,122,127,66,124,
4,AUKE BAY AK US,2,30.7,74.6,7.3,715,339,310,166,337,
4,AUKE BAY AK US,3,34.6,73.3,7.9,747,446,446,258,581,
4,AUKE BAY AK US,4,41.9,79.4,7.8,1099,829,850,471,1112,"51,46,1.946 53,14,2.344 55,18,3.172 57,11,2.168 59,2,4.856 61,16,3.751 63,8,3.727 65,2,2.897"
4,AUKE BAY AK US,5,49.8,73.3,7.5,1222,1126,1115,678,1562,"51,129,0.693 53,62,1.037 55,48,1.287 57,50,1.702 59,14,2.053 61,46,2.211 63,34,2.602 65,14,2.068 67,15,2.685 69,12,2.853 71,5,2.963 73,1,2.867"
4,AUKE BAY AK US,6,55.9,79.3,7,871,840,880,556,1437,"51,146,0.371 53,101,0.678 55,67,0.748 57,57,1.310 59,34,1.338 61,37,1.900 63,32,1.858 65,19,2.723 67,20,2.753 69,30,3.248 71,6,3.358 73,2,4.678 75,4,3.470 77,1,4.831 79,4,4.051"
4,AUKE BAY AK US,7,58,86.2,6.8,728,648,734,509,1119,"51,123,0.183 53,159,0.268 55,133,0.640 57,115,1.016 59,37,1.166 61,38,1.449 63,51,1.799 65,25,2.549 67,12,4.049 69,21,4.961 71,4,5.765 73,4,4.498 75,3,5.544 77,2,5.102"
4,AUKE BAY AK US,8,56.9,84.1,6.9,1021,936,860,450,1251,"51,156,0.307 53,132,0.557 55,96,0.725 57,61,1.257 59,40,1.325 61,47,1.689 63,35,2.731 65,10,3.468 67,8,3.610 69,17,3.263 71,11,4.327 73,11,3.492 75,6,3.509"
4,AUKE BAY AK US,9,50.9,90.3,7.8,708,443,564,278,653,"51,248,0.573 53,94,1.211 55,34,2.812 57,21,5.551 59,9,7.020 61,11,6.139 63,4,2.696"
4,AUKE BAY AK US,10,42.9,88.5,8.5,699,330,315,127,395,"51,74,2.219 53,8,3.457 55,3,9.061"
4,AUKE BAY AK US,11,33.7,69.6,7.6,389,176,168,109,177,
4,AUKE BAY AK US,12,30.1,88.6,7.8,238,83,82,52,85,
5,BARROW W POST W ROGERS AIRPORT AK US,1,-13.4,77.9,12.4,10,1,1,0,0,
5,BARROW W POST W ROGERS AIRPORT AK US,2,-14.2,75.6,12.6,358,85,94,34,82,
5,BARROW W POST W ROGERS AIRPORT AK US,3,-12.7,79.8,11.7,1169,480,504,158,495,
5,BARROW W POST W ROGERS AIRPORT AK US,4,1.8,78.8,11.9,1317,883,917,398,1100,
5,BARROW W POST W ROGERS AIRPORT AK US,5,21.1,88,12.5,1164,987,1028,671,1460,
5,BARROW W POST W ROGERS AIRPORT AK US,6,35.6,89.3,12,975,950,950,751,1433,"51,5,1.286 53,1,0.881"
5,BARROW W POST W ROGERS AIRPORT AK US,7,40.9,89.4,12.2,1062,957,972,679,1383,"51,25,1.112 53,7,1.707 55,9,1.929 57,2,2.534"
5,BARROW W POST W ROGERS AIRPORT AK US,8,39,85.7,12.5,769,609,596,384,876,"51,33,2.497 53,29,2.862 55,29,3.699 57,13,3.343 59,4,4.552 61,3,3.065"
5,BARROW W POST W ROGERS AIRPORT AK US,9,32.1,85.6,13.2,385,254,270,180,396,
5,BARROW W POST W ROGERS AIRPORT AK US,10,17.2,97,13.7,275,108,122,71,157,
5,BARROW W POST W ROGERS AIRPORT AK US,11,0.7,83.8,13.2,45,8,8,4,8,
5,BARROW W POST W ROGERS AIRPORT AK US,12,-7.8,78.6,12.8,0,0,0,0,0,
6,BETHEL AIRPORT AK US,1,6.6,83.5,14.3,342,90,101,45,107,
6,BETHEL AIRPORT AK US,2,11.1,77,13.9,1076,392,363,116,391,
6,BETHEL AIRPORT AK US,3,15.2,85,13.5,1226,622,683,257,828,
6,BETHEL AIRPORT AK US,4,26.9,79,12,1269,891,893,380,1263,"51,3,2.863 53,2,3.076"
6,BETHEL AIRPORT AK US,5,41.9,73,10.9,1000,889,917,534,1407,"51,57,2.027 53,31,2.105 55,23,2.555 57,12,3.355 59,4,4.643 61,3,3.739 63,3,3.513 65,2,4.010"
6,BETHEL AIRPORT AK US,6,52.5,77.1,10,893,831,1044,622,1456,"51,128,0.637 53,52,1.154 55,38,1.491 57,45,1.722 59,26,1.937 61,32,2.056 63,34,2.309 65,21,2.611 67,19,2.151 69,10,2.292 71,2,4.893 73,2,3.031 75,3,3.152 77,2,3.145"
6,BETHEL AIRPORT AK US,7,56.1,77.9,9.9,886,808,928,581,1378,"51,97,0.374 53,112,0.573 55,112,0.741 57,74,1.018 59,61,1.371 61,51,1.388 63,48,1.873 65,22,2.190 67,17,3.058 69,24,2.762 71,12,3.414 73,4,3.771"
6,BETHEL AIRPORT AK US,8,53.5,88.4,10.5,718,608,602,406,970,"51,133,0.679 53,118,0.865 55,83,1.354 57,59,1.406 59,52,1.435 61,24,2.425 63,13,2.262 65,11,1.794 67,9,3.273 69,8,3.835 71,2,4.342 73,2,5.355 75,2,3.963"
6,BETHEL AIRPORT AK US,9,45.6,80.9,10.9,769,467,489,242,672,"51,111,1.206 53,44,2.666 55,18,3.042 57,10,2.426 59,3,2.821"
6,BETHEL AIRPORT AK US,10,30.3,85.9,11.6,600,293,262,138,357,"51,4,4.833"
6,BETHEL AIRPORT AK US,11,17.4,79.9,12.5,493,142,151,63,160,
6,BETHEL AIRPORT AK US,12,10.4,85.1,12.9,324,70,71,28,68,
7,BETTLES AIRPORT AK US,1,-10,66.9,5.1,150,39,14,8,19,
7,BETTLES AIRPORT AK US,2,-5,62.8,5.4,746,240,257,105,194,
7,BETTLES AIRPORT AK US,3,4.4,68.1,6.2,1226,777,455,194,647,
7,BETTLES AIRPORT AK US,4,23.3,55,6.7,1695,1231,1218,586,1295,"51,37,1.660 53,6,1.802 55,2,3.505 57,3,2.818"
7,BETTLES AIRPORT AK US,5,44.4,57.6,6.7,1372,1410,1048,662,1639,"51,94,1.291 53,48,1.352 55,33,1.331 57,31,1.288 59,20,1.300 61,25,1.451 63,14,2.103 65,8,1.965 67,1,2.550 69,5,1.018 71,1,1.699 73,2,1.465 75,2,2.198"
7,BETTLES AIRPORT AK US,6,58.5,59.8,6.2,1256,1416,1114,840,1780,"51,83,0.480 53,62,0.457 55,57,0.489 57,58,0.831 59,36,1.025 61,53,1.307 63,36,1.635 65,32,1.629 67,38,1.954 69,30,1.770 71,22,2.157 73,30,2.474 75,13,2.313 77,2,2.550"
7,BETTLES AIRPORT AK US,7,59.7,65.1,5.9,1243,1201,1159,728,1643,"51,51,0.287 53,67,0.390 55,64,0.708 57,60,0.535 59,43,0.642 61,63,0.867 63,53,0.981 65,57,1.443 67,39,1.378 69,101,1.577 71,25,1.859 73,28,1.756 75,15,1.845 77,6,2.198 79,8,2.699 81,3,2.305 83,2,3.234 85,3,2.865"
7,BETTLES AIRPORT AK US,8,52.5,78.1,5.6,1070,952,719,430,1106,"51,101,0.575 53,81,0.813 55,62,0.624 57,69,1.101 59,23,1.282 61,49,1.888 63,41,1.698 65,52,1.780 67,31,2.179 69,12,2.477"
7,BETTLES AIRPORT AK US,9,40.6,77.2,5.8,874,654,427,212,620,"51,36,2.949 53,16,2.974 55,3,3.599"
7,BETTLES AIRPORT AK US,10,18.9,85.3,5.8,515,286,161,102,259,
7,BETTLES AIRPORT AK US,11,-1,81.2,5.2,238,78,36,22,50,
7,BETTLES AIRPORT AK US,12,-5.7,69.1,5,7,1,0,0,1,
8,BIG DELTA AIRPORT AK US,1,-1,66.6,12.3,328,102,41,23,56,
8,BIG DELTA AIRPORT AK US,2,4.9,60.7,10.8,775,358,168,84,249,
8,BIG DELTA AIRPORT AK US,3,14.1,54.9,9.4,1348,718,740,319,703,
8,BIG DELTA AIRPORT AK US,4,32.2,54.3,8.3,1509,1246,824,399,1327,"51,23,0.991"
8,BIG DELTA AIRPORT AK US,5,47.6,58.5,8,799,752,716,511,1154,"51,79,0.705 53,75,1.108 55,63,1.203 57,41,1.314 59,21,1.298 61,40,2.251 63,39,1.894 65,38,1.969 67,12,1.881 69,19,2.525"
8,BIG DELTA AIRPORT AK US,6,57.6,54.7,7.1,1033,1115,1134,782,1614,"51,50,0.249 53,37,0.331 55,27,0.601 57,34,0.466 59,18,0.285 61,45,0.810 63,60,0.559 65,59,0.721 67,55,0.971 69,70,0.913 71,44,1.639 73,54,1.504 75,30,1.723 77,15,1.803 79,19,2.034 81,28,2.456 83,9,2.056 85,14,2.723 87,8,2.410"
8,BIG DELTA AIRPORT AK US,7,60.2,56.6,6.2,1324,1524,1043,729,1796,"51,81,0.354 53,65,0.374 55,51,0.717 57,55,0.908 59,38,0.861 61,45,0.909 63,39,1.406 65,35,1.594 67,30,1.389 69,55,1.501 71,36,1.382 73,32,1.669 75,25,2.113 77,18,1.993 79,11,2.346 81,10,2.352 83,19,1.051 85,10,1.727 87,4,0.463"
8,BIG DELTA AIRPORT AK US,8,54.8,60.1,6.5,1125,1011,784,438,1218,"51,88,0.767 53,42,0.846 55,45,0.918 57,57,1.098 59,26,0.764 61,82,1.421 63,48,1.556 65,32,1.804 67,18,1.764 69,14,2.913 71,11,3.240 73,3,2.808"
8,BIG DELTA AIRPORT AK US,9,43.9,68.5,7.9,882,692,457,253,725,"51,40,1.431 53,61,0.919 55,33,1.376 57,25,2.026 59,27,2.895 61,12,3.788 63,13,4.547 65,13,4.691 67,2,5.218"
8,BIG DELTA AIRPORT AK US,10,24.1,75.7,8.4,678,358,212,120,326,"51,4,2.656 53,2,6.778"
8,BIG DELTA AIRPORT AK US,11,6.2,74.5,10.3,399,144,69,41,102,
8,BIG DELTA AIRPORT AK US,12,2.1,64.6,11.8,178,44,16,10,23,
9,BIG RIVER LAKES AK US,1,19.9,71.1,2.4,253,81,77,45,102,
9,BIG RIVER LAKES AK US,2,23.2,74.5,7.9,925,451,224,109,333,"51,3,5.699"
9,BIG RIVER LAKES AK US,3,28.1,81.9,5.9,985,503,531,229,704,"51,2,1.929"
9,BIG RIVER LAKES AK US,4,37.5,87.1,5.4,1101,773,734,347,1098,"51,15,1.420"
9,BIG RIVER LAKES AK US,5,48,63.1,9.4,858,788,730,428,1291,"51,73,1.393 53,52,1.491 55,44,1.935 57,23,1.873 59,16,2.224 61,15,2.505 63,10,2.140 65,8,2.455 67,4,2.512 69,3,3.883 71,1,3.250"
9,BIG RIVER LAKES AK US,6,56.2,79.3,5.5,957,969,975,541,1629,"51,94,0.684 53,77,0.756 55,59,1.016 57,57,0.955 59,46,1.225 61,46,1.322 63,37,1.482 65,31,1.573 67,16,2.217 69,19,2.759 71,11,2.372 73,9,2.486 75,1,3.233 77,2,1.266 79,1,0.137 83,1,0.004 85,1,0.000 87,1,0.000 91,1,0.000 93,1,0.000 97,1,0.004 99,1,0.179"
9,BIG RIVER LAKES AK US,7,59.4,80.9,4.9,801,834,769,487,1323,"51,95,0.380 53,105,0.390 55,116,0.720 57,79,1.004 59,67,1.061 61,66,1.294 63,41,1.684 65,41,2.376 67,22,2.262 69,28,2.862 71,5,3.341 73,4,3.415 75,3,3.325"
9,BIG RIVER LAKES AK US,8,57.9,80.4,7.1,1050,840,848,357,1267,"51,103,0.493 53,63,0.753 55,65,0.683 57,86,1.005 59,65,0.830 61,63,1.138 63,56,1.588 65,43,1.882 67,31,2.283 69,21,2.906 71,11,3.119 73,6,3.365 75,1,3.282"
9,BIG RIVER LAKES AK US,9,50.3,67.4,6.2,906,650,478,256,754,"51,49,0.891 53,27,1.653 55,33,1.430 57,15,1.749 59,15,3.565 61,13,2.435 63,13,4.244 65,6,3.881 67,7,4.499 69,13,4.213 71,5,3.494"
9,BIG RIVER LAKES AK US,10,37.9,61.7,10.5,518,261,251,138,356,"51,14,2.092 53,12,2.561 55,9,1.674 57,5,5.881"
9,BIG RIVER LAKES AK US,11,26,60.3,5.9,507,208,100,56,149,"51,13,0.894 53,4,0.000 57,2,0.000 59,1,0.000 61,1,0.000 63,1,0.000 67,1,0.000 69,1,0.016"
9,BIG RIVER LAKES AK US,12,22,73.5,5.6,149,46,44,28,60,
10,CANNERY CREEK AK US,1,24.7,82.6,7.2,300,105,59,38,88,
10,CANNERY CREEK AK US,2,26.2,77.4,6.5,343,149,149,97,193,
10,CANNERY CREEK AK US,3,30.2,73.2,5.5,985,503,531,230,704,
10,CANNERY CREEK AK US,4,36.4,75.3,4.4,888,649,628,334,938,"51,15,2.704 53,5,2.120 55,2,1.170 61,1,1.621"
10,CANNERY CREEK AK US,5,44,68.2,5.9,903,766,766,473,1237,"51,89,1.586 53,25,2.296 55,16,2.821 57,8,3.231 59,1,3.210 61,5,3.979 63,2,4.232 65,6,3.678 67,6,3.852 69,1,3.774"
10,CANNERY CREEK AK US,6,51.7,72.5,6.1,821,739,873,563,1327,"51,122,0.471 53,124,0.911 55,81,0.955 57,50,1.234 59,27,2.139 61,16,2.296 63,22,3.415 65,18,3.345 67,13,2.930 69,15,3.254 71,4,2.363 73,6,3.724"
10,CANNERY CREEK AK US,7,55,83.6,5.7,722,722,678,513,1121,"51,192,0.231 53,177,0.575 55,146,1.042 57,78,1.479 59,39,2.362 61,30,3.009 63,15,3.125 65,5,3.495 67,8,4.720 69,2,4.608 71,2,4.954 73,2,5.140"
10,CANNERY CREEK AK US,8,53.8,72.7,4.4,895,641,768,374,1048,"51,128,0.171 53,109,0.373 55,96,0.655 57,90,1.236 59,37,1.423 61,67,2.001 63,41,2.263 65,29,1.997 67,19,2.590 69,26,2.583 71,7,3.229 73,5,2.995 75,1,3.503"
10,CANNERY CREEK AK US,9,47.5,71.6,3.8,568,390,435,240,571,"51,130,0.974 53,69,1.314 55,37,2.245 57,37,2.814 59,20,3.425 61,13,4.427 63,5,3.947"
10,CANNERY CREEK AK US,10,38.3,73.4,5.5,477,276,241,168,315,"51,5,0.902 53,3,0.991 55,1,1.054 59,1,1.130"
10,CANNERY CREEK AK US,11,28.9,71.8,13.7,670,197,206,80,164,
10,CANNERY CREEK AK US,12,26.6,85,5.3,198,53,54,28,51,
11,COLD BAY AIRPORT AK US,1,28.2,84.1,17,338,214,74,64,153,
11,COLD BAY AIRPORT AK US,2,29,84.5,17.3,536,457,155,129,330,
11,COLD BAY AIRPORT AK US,3,30.1,79.9,17.2,703,733,299,228,634,
11,COLD BAY AIRPORT AK US,4,34,78.4,16.7,712,966,446,400,941,
11,COLD BAY AIRPORT AK US,5,40.3,79.8,15.9,628,887,520,516,1057,
11,COLD BAY AIRPORT AK US,6,46.3,87.8,15.2,614,792,549,547,1117,"51,58,2.295 53,11,3.258 55,3,3.350 57,7,4.826 59,4,6.520 61,1,8.370 63,2,7.789"
11,COLD BAY AIRPORT AK US,7,50.9,84.4,15,668,892,560,557,1162,"51,181,0.940 53,99,1.665 55,45,2.308 57,28,2.747 59,9,3.791 61,8,2.962 63,5,3.806"
11,COLD BAY AIRPORT AK US,8,52.1,86.7,15.4,581,803,439,429,903,"51,310,0.864 53,111,2.061 55,35,2.233 57,12,2.785 59,2,4.246 61,4,3.606 63,1,3.985"
11,COLD BAY AIRPORT AK US,9,48.1,88,15.9,607,740,310,261,655,"51,186,1.097 53,63,1.139 55,18,1.522 57,6,2.087 59,2,0.930 61,3,2.313"
11,COLD BAY AIRPORT AK US,10,40.4,81.7,16.3,509,485,170,144,370,"51,9,2.929"
11,COLD BAY AIRPORT AK US,11,34.5,84.9,17.4,442,319,96,84,209,"51,5,1.926 53,1,0.145 55,2,1.196"
11,COLD BAY AIRPORT AK US,12,31.1,90,17.3,299,160,56,49,117,
12,COLLEGE 5 NW AK US,1,1,83,2.7,205,66,29,19,44,
12,COLLEGE 5 NW AK US,2,6.3,76,3.3,682,299,161,82,230,
12,COLLEGE 5 NW AK US,3,15.5,59.4,5.1,1200,781,459,221,707,
12,COLLEGE 5 NW AK US,4,32.8,49,6,1509,1246,824,399,1327,"51,37,2.196 53,17,2.234 55,15,2.728 57,13,2.744 59,2,3.243 61,1,3.445"
12,COLLEGE 5 NW AK US,5,48.5,45.9,6.8,1374,1412,1049,663,1641,"51,66,0.857 53,66,1.171 55,62,1.370 57,52,1.472 59,32,1.582 61,41,1.783 63,38,1.859 65,27,1.850 67,21,1.745 69,12,1.947 71,3,1.674"
12,COLLEGE 5 NW AK US,6,59,57.2,6.3,1219,1341,1096,803,1775,"51,74,0.429 53,49,0.598 55,63,0.574 57,64,0.694 59,24,0.736 61,67,0.909 63,69,1.093 65,58,1.312 67,65,1.536 69,60,1.417 71,26,1.512 73,21,1.549 75,11,1.769 77,6,1.601 79,12,2.162 81,4,1.734 83,1,2.243"
12,COLLEGE 5 NW AK US,7,61,67.8,5.8,1164,1274,924,677,1595,"51,69,0.347 53,42,0.373 55,56,0.381 57,60,0.399 59,41,0.528 61,63,0.626 63,54,0.999 65,60,1.306 67,47,1.311 69,62,1.633 71,40,1.785 73,29,1.880 75,38,2.045 77,12,2.193 79,17,2.180 81,7,1.509 83,3,2.775 85,2,2.203 87,2,2.003"
12,COLLEGE 5 NW AK US,8,55.1,67.9,5.5,1124,1010,783,438,1217,"51,90,0.423 53,65,0.580 55,65,0.675 57,62,0.657 59,32,0.694 61,58,0.884 63,47,1.254 65,54,1.360 67,39,1.580 69,52,1.553 71,23,2.262 73,19,2.277 75,10,2.477 77,4,1.855 79,3,2.494"
12,COLLEGE 5 NW AK US,9,44.6,73.3,5.3,913,650,463,236,685,"51,68,1.238 53,37,1.505 55,29,1.835 57,28,2.618 59,12,1.994 61,23,2.567 63,8,3.191"
12,COLLEGE 5 NW AK US,10,25.3,76.5,4.5,652,365,191,113,303,"51,22,2.083 53,5,4.289 55,3,3.943 57,1,2.534"
12,COLLEGE 5 NW AK US,11,8.6,78.3,3,359,98,97,47,77,
12,COLLEGE 5 NW AK US,12,3.9,79.8,2.4,52,12,7,6,12,
13,COLLEGE OBSERVATORY AK US,1,-3.9,83,2.7,205,67,29,19,44,
13,COLLEGE OBSERVATORY AK US,2,2,76,3.3,683,300,162,83,231,
13,COLLEGE OBSERVATORY AK US,3,13.5,59.4,5.1,1202,782,460,222,709,
13,COLLEGE OBSERVATORY AK US,4,32.1,49,6,1673,1168,1189,565,1349,"51,37,2.196 53,17,2.234 55,15,2.728 57,13,2.744 59,2,3.243 61,1,3.445"
13,COLLEGE OBSERVATORY AK US,5,48.5,45.9,6.8,1316,1438,996,631,1658,"51,66,0.857 53,66,1.171 55,62,1.370 57,52,1.472 59,32,1.582 61,41,1.783 63,38,1.859 65,27,1.850 67,21,1.745 69,12,1.947 71,3,1.674"
13,COLLEGE OBSERVATORY AK US,6,59.3,57.2,6.3,1221,1344,1098,804,1778,"51,74,0.429 53,49,0.598 55,63,0.574 57,64,0.694 59,24,0.736 61,67,0.909 63,69,1.093 65,58,1.312 67,65,1.536 69,60,1.417 71,26,1.512 73,21,1.549 75,11,1.769 77,6,1.601 79,12,2.162 81,4,1.734 83,1,2.243"
13,COLLEGE OBSERVATORY AK US,7,61.6,67.8,5.8,1166,1276,925,678,1597,"51,69,0.347 53,42,0.373 55,56,0.381 57,60,0.399 59,41,0.528 61,63,0.626 63,54,0.999 65,60,1.306 67,47,1.311 69,62,1.633 71,40,1.785 73,29,1.880 75,38,2.045 77,12,2.193 79,17,2.180 81,7,1.509 83,3,2.775 85,2,2.203 87,2,2.003"
13,COLLEGE OBSERVATORY AK US,8,55.2,67.9,5.5,1171,1030,766,439,1228,"51,90,0.423 53,65,0.580 55,65,0.675 57,62,0.657 59,32,0.694 61,58,0.884 63,47,1.254 65,54,1.360 67,39,1.580 69,52,1.553 71,23,2.262 73,19,2.277 75,10,2.477 77,4,1.855 79,3,2.494"
13,COLLEGE OBSERVATORY AK US,9,43.9,73.3,5.3,916,652,465,236,687,"51,68,1.238 53,37,1.505 55,29,1.835 57,28,2.618 59,12,1.994 61,23,2.567 63,8,3.191"
13,COLLEGE OBSERVATORY AK US,10,24.1,76.5,4.5,654,366,192,114,304,"51,22,2.083 53,5,4.289 55,3,3.943 57,1,2.534"
13,COLLEGE OBSERVATORY AK US,11,4.6,78.3,3,360,98,98,48,77,
13,COLLEGE OBSERVATORY AK US,12,-0.5,79.8,2.4,52,12,7,6,12,
14,COOPER LANDING 5 W AK US,1,16.8,84.6,7.2,253,82,77,46,102,
14,COOPER LANDING 5 W AK US,2,21,87,10.4,921,447,221,108,328,
14,COOPER LANDING 5 W AK US,3,26.5,72.9,10.3,988,506,534,231,708,
14,COOPER LANDING 5 W AK US,4,36,68.4,10,1112,782,742,352,1110,"51,19,2.054 53,8,2.656 55,4,2.555 57,10,3.000 59,3,3.198 61,12,3.076 63,6,3.195 65,11,3.184 67,4,2.716"
